"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Louisiana : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-LA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Louisiana : other","thousand megawatthours","ELEC.GEN.OTH-LA-99.A",890,650,840,764,550,715,666,458,456,559,440,376,679,533,788,727,632,643,463
"Louisiana : all solar",,"ELEC.GEN.TSN-LA-99.A",,,,,,,,,,,,,,,,,,,
"Louisiana : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-LA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",104,153,191,200,229,241
"Louisiana : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-LA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",2,2,"NM"
"Oklahoma",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Oklahoma : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-OK-99.A",55249,59183,60627,60730,68608,70615,72819,76329,75067,72251,74606,77897,73674,70156,76136,78655,73732,86224,83482
"Oklahoma : coal","thousand megawatthours","ELEC.GEN.COW-OK-99.A",34616,35965,36676,33801,36309,35032,34438,36315,34059,31475,34479,29302,29999,29906,24867,19158,17368,14907,7826
"Oklahoma : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-OK-99.A",175,50,161,68,70,64,160,23,9,14,16,11,10,12,11,17,16,18,17
"Oklahoma : petroleum coke","thousand megawatthours","ELEC.GEN.PC-OK-99.A","--","--","--","--","--","--",0,0,0,5,0,0,0,0,0,0,0,0,0
"Oklahoma : natural gas","thousand megawatthours","ELEC.GEN.NG-OK-99.A",17944,21049,21823,23286,28590,32981,33144,33774,34631,33942,32837,39024,30056,26641,34286,36529,30451,41613,44658
"Oklahoma : other gases","thousand megawatthours","ELEC.GEN.OOG-OK-99.A",68,71,45,"--",19,16,22,10,0,0,"--","--","--","--","--","--","--","--","--"
"Oklahoma : nuclear","thousand megawatthours","ELEC.GEN.NUC-OK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oklahoma : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-OK-99.A",2345,1988,1798,2977,2630,624,3066,3811,3553,2809,1507,1146,2178,1428,2664,2573,2036,2035,1824
"Oklahoma : other renewables",,"ELEC.GEN.AOR-OK-99.A",,,,,,,,,,,,,,,,,,,
"Oklahoma : wind","thousand megawatthours","ELEC.GEN.WND-OK-99.A","--","--",54,573,848,1712,1849,2358,2698,3808,5605,8158,11162,11937,14031,20069,23599,27338,28883
"Oklahoma : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-OK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",2,5,33,62,61
"Oklahoma : geothermal","thousand megawatthours","ELEC.GEN.GEO-OK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oklahoma : biomass","thousand megawatthours","ELEC.GEN.BIO-OK-99.A",231,239,267,250,289,297,280,193,231,352,314,363,344,338,336,362,299,329,310
"Oklahoma : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-OK-99.A",-128,-178,-206,-234,-154,-116,-166,-168,-117,-153,-153,-117,-78,-106,-72,-87,-118,-135,-104
"Oklahoma : other","thousand megawatthours","ELEC.GEN.OTH-OK-99.A","--","--",7,9,6,5,25,13,2,0,2,10,2,-2,11,28,48,57,7
"Oklahoma : all solar",,"ELEC.GEN.TSN-OK-99.A",,,,,,,,,,,,,,,,,,,
"Oklahoma : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-OK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",2,3,4,6,11,20
"Oklahoma : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-OK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",2,5,33,62,61
"Texas",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Texas : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-TX-99.A",372580,385629,379200,390299,396669,400583,405492,404788,397168,411695,435477,429813,433380,437630,449826,454048,452794,477352,482355
"Texas : coal","thousand megawatthours","ELEC.GEN.COW-TX-99.A",135100,141847,146990,148885,148358,146391,147279,147132,139107,150173,157897,138088,149404,148174,121554,121231,134648,111723,91822
"Texas : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-TX-99.A",1890,332,1646,306,201,189,178,117,137,121,137,91,92,102,108,82,74,61,51
"Texas : petroleum coke","thousand megawatthours","ELEC.GEN.PC-TX-99.A",914,1289,869,1422,1382,1600,1131,917,1268,587,840,1393,859,176,134,114,90,68,111
"Texas : natural gas","thousand megawatthours","ELEC.GEN.NG-TX-99.A",190111,196433,184911,188755,197665,197870,199531,193247,189066,186882,200500,213901,203798,204721,237731,225976,204512,239713,254618
"Texas : other gases","thousand megawatthours","ELEC.GEN.OOG-TX-99.A",1574,3053,5999,4204,3272,3798,3601,3401,3649,3291,3390,2999,2400,2307,2579,2514,2472,2526,2874
"Texas : nuclear","thousand megawatthours","ELEC.GEN.NUC-TX-99.A",38163,35618,33437,40435,38232,41264,40955,40727,41498,41335,39648,38441,38315,39287,39355,42079,38581,41186,41298
"Texas : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-TX-99.A",1200,1123,897,1301,1333,662,1644,1039,1029,1262,563,584,480,386,956,1342,1062,1126,998
"Texas : other renewables",,"ELEC.GEN.AOR-TX-99.A",,,,,,,,,,,,,,,,,,,
"Texas : wind","thousand megawatthours","ELEC.GEN.WND-TX-99.A",1188,2656,2570,3138,4237,6671,9006,16225,20026,26251,30548,32214,35874,40005,44833,57531,67061,75700,84429
"Texas : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-TX-99.A",-0,"--","--","--","--","--","--","--","--",8,29,118,163,282,401,731,2189,3206,4321
"Texas : geothermal","thousand megawatthours","ELEC.GEN.GEO-TX-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Texas : biomass","thousand megawatthours","ELEC.GEN.BIO-TX-99.A",993,1319,1396,1109,1098,1148,1281,1414,1078,1445,1606,1684,1723,1808,1440,1683,1577,1590,1329
"Texas : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-TX-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Texas : other","thousand megawatthours","ELEC.GEN.OTH-TX-99.A",1447,1957,484,745,890,989,885,569,310,339,319,298,272,381,734,764,528,453,503
"Texas : all solar",,"ELEC.GEN.TSN-TX-99.A",,,,,,,,,,,,,,,,,,,
"Texas : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-TX-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",164,223,391,476,716,1001
"Texas : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-TX-99.A",-0,"--","--","--","--","--","--","--","--",8,29,118,163,282,401,731,2189,3206,4321
"Mountain",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Arizona",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Arizona : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-AZ-99.A",89911,94132,94396,104564,101479,104393,113341,119459,111971,111751,108125,110905,113326,112257,113142,108763,105852,111925,113288
"Arizona : coal","thousand megawatthours","ELEC.GEN.COW-AZ-99.A",40061,38227,38091,39811,40144,40443,41275,43840,39707,43644,43702,40116,43492,42665,36167,30403,31396,30745,23218
"Arizona : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-AZ-99.A",314,57,49,41,43,73,49,52,63,66,53,42,43,57,48,52,57,50,64
"Arizona : petroleum coke","thousand megawatthours","ELEC.GEN.PC-AZ-99.A",0,"--","--","--","--","--",0,0,0,0,0,"--","--","--","--","--","--","--","--"
"Arizona : natural gas","thousand megawatthours","ELEC.GEN.NG-AZ-99.A",12872,17293,18933,28265,28893,32869,38469,38822,34739,29676,23253,30295,29685,27242,33657,34183,29591,37168,46095
"Arizona : other gases","thousand megawatthours","ELEC.GEN.OOG-AZ-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Arizona : nuclear","thousand megawatthours","ELEC.GEN.NUC-AZ-99.A",28724,30862,28581,28113,25807,24012,26782,29250,30662,31200,31278,31934,31431,32321,32526,32377,32340,31097,31920
"Arizona : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-AZ-99.A",7624,7427,7075,6973,6410,6793,6598,7286,6427,6622,9174,6717,5915,6118,6536,7168,6832,6982,6096
"Arizona : other renewables",,"ELEC.GEN.AOR-AZ-99.A",,,,,,,,,,,,,,,,,,,
"Arizona : wind","thousand megawatthours","ELEC.GEN.WND-AZ-99.A","--","--","--","--","--","--","--","--",30,135,256,532,450,468,452,542,570,530,557
"Arizona : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AZ-99.A",0,0,0,4,14,13,9,15,14,16,83,955,2111,3142,3457,3766,4942,5140,5108
"Arizona : geothermal","thousand megawatthours","ELEC.GEN.GEO-AZ-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Arizona : biomass","thousand megawatthours","ELEC.GEN.BIO-AZ-99.A",39,53,45,44,60,40,33,99,159,168,190,211,171,231,227,214,171,219,232
"Arizona : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-AZ-99.A",276,124,284,-53,107,149,125,95,169,209,121,79,24,14,73,59,-46,-5,2
"Arizona : other","thousand megawatthours","ELEC.GEN.OTH-AZ-99.A","--",88,1339,1368,"--","--","--","--",2,15,15,24,3,0,"--","--",-1,-3,-4
"Arizona : all solar",,"ELEC.GEN.TSN-AZ-99.A",,,,,,,,,,,,,,,,,,,
"Arizona : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-AZ-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",1101,1370,1603,1893,2265,2574
"Arizona : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AZ-99.A",0,0,0,4,14,13,9,15,14,16,83,955,2111,3142,3457,3766,4942,5140,5108
"Colorado",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Colorado : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-CO-99.A",46876,45600,46617,47869,49617,50698,53907,53442,50566,50721,51433,52557,52937,53847,52393,54418,53844,55386,56191
"Colorado : coal","thousand megawatthours","ELEC.GEN.COW-CO-99.A",35951,35388,36116,35848,35570,36269,35936,34828,31636,34559,33955,34521,33703,32545,31541,29949,29242,26382,25320
"Colorado : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-CO-99.A",176,23,34,14,17,21,28,19,13,17,22,11,10,10,7,7,7,12,11
"Colorado : petroleum coke","thousand megawatthours","ELEC.GEN.PC-CO-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Colorado : natural gas","thousand megawatthours","ELEC.GEN.NG-CO-99.A",9392,9028,9226,10747,11923,11919,15014,13487,13840,11062,10186,10524,10709,11954,11644,12679,12532,16398,17088
"Colorado : other gases","thousand megawatthours","ELEC.GEN.OOG-CO-99.A","--",3,4,2,2,3,2,0,0,0,"--","--","--","--","--","--","--","--","--"
"Colorado : nuclear","thousand megawatthours","ELEC.GEN.NUC-CO-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Colorado : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-CO-99.A",1495,1209,1262,1195,1415,1791,1730,2039,1886,1578,2083,1497,1213,1770,1620,1903,1897,1825,1607
"Colorado : other renewables",,"ELEC.GEN.AOR-CO-99.A",,,,,,,,,,,,,,,,,,,
"Colorado : wind","thousand megawatthours","ELEC.GEN.WND-CO-99.A",49,139,147,220,776,866,1292,3221,3164,3452,5200,5969,7204,7369,7475,9421,9315,9745,10926
"Colorado : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-CO-99.A","--","--","--","--","--","--",2,18,26,42,105,165,248,253,251,538,954,1062,1208
"Colorado : geothermal","thousand megawatthours","ELEC.GEN.GEO-CO-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Colorado : biomass","thousand megawatthours","ELEC.GEN.BIO-CO-99.A",64,30,31,35,34,31,31,45,57,60,62,58,84,126,81,162,166,164,162
"Colorado : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-CO-99.A",-251,-220,-204,-192,-122,-201,-168,-249,-109,-121,-243,-244,-280,-225,-279,-294,-327,-263,-192
"Colorado : other","thousand megawatthours","ELEC.GEN.OTH-CO-99.A",0,0,"--","--",0,0,41,33,53,70,63,55,46,47,52,53,57,59,61
"Colorado : all solar",,"ELEC.GEN.TSN-CO-99.A",,,,,,,,,,,,,,,,,,,
"Colorado : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-CO-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",353,391,461,531,590,634
"Colorado : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-CO-99.A","--","--","--","--","--","--",2,18,26,42,105,165,248,253,251,538,954,1062,1208
"Idaho",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Idaho : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-ID-99.A",9347,9787,10423,10863,10825,13386,11484,11971,13100,12025,16569,15499,15186,15184,15667,15661,17396,18172,16436
"Idaho : coal","thousand megawatthours","ELEC.GEN.COW-ID-99.A",72,91,90,99,95,82,84,90,83,88,83,77,92,78,79,29,24,20,19
"Idaho : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-ID-99.A",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Idaho : petroleum coke","thousand megawatthours","ELEC.GEN.PC-ID-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Idaho : natural gas","thousand megawatthours","ELEC.GEN.NG-ID-99.A",1405,329,1375,1704,1597,1298,1657,1700,1644,1689,1111,1898,3392,2553,3804,3321,3079,3279,3475
"Idaho : other gases","thousand megawatthours","ELEC.GEN.OOG-ID-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Idaho : nuclear","thousand megawatthours","ELEC.GEN.NUC-ID-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Idaho : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-ID-99.A",7223,8769,8354,8462,8542,11242,9022,9363,10434,9154,13405,10940,8473,9002,8757,9033,10670,11024,9112
"Idaho : other renewables",,"ELEC.GEN.AOR-ID-99.A",,,,,,,,,,,,,,,,,,,
"Idaho : wind","thousand megawatthours","ELEC.GEN.WND-ID-99.A","--","--","--","--","--",170,172,207,313,441,1307,1891,2460,2806,2270,2578,2545,2655,2657
"Idaho : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ID-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",30,459,556,542
"Idaho : geothermal","thousand megawatthours","ELEC.GEN.GEO-ID-99.A","--","--","--","--","--","--","--",86,76,72,63,75,40,79,76,72,84,83,73
"Idaho : biomass","thousand megawatthours","ELEC.GEN.BIO-ID-99.A",533,508,541,560,560,520,481,455,478,501,522,549,652,593,601,532,465,491,492
"Idaho : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-ID-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Idaho : other","thousand megawatthours","ELEC.GEN.OTH-ID-99.A",109,90,63,38,31,73,69,70,72,79,78,69,77,75,81,65,68,64,66
"Idaho : all solar",,"ELEC.GEN.TSN-ID-99.A",,,,,,,,,,,,,,,,,,,
"Idaho : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-ID-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",4,6,10,16,33,58
"Idaho : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ID-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",30,459,556,542
"Montana",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Montana : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-MT-99.A",24232,25474,26269,26789,27939,28244,28931,29637,26713,29791,30129,27805,27687,30258,29302,27784,28221,28213,27241
"Montana : coal","thousand megawatthours","ELEC.GEN.COW-MT-99.A",17036,15338,17049,17380,17823,17085,18357,18332,15611,18601,15056,13987,14880,15579,16013,14269,13864,13360,14154
"Montana : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MT-99.A",1,14,15,22,17,22,16,16,13,13,18,13,15,26,14,17,13,17,16
"Montana : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MT-99.A",497,456,388,417,398,397,463,404,478,395,443,454,448,403,483,443,445,429,449
"Montana : natural gas","thousand megawatthours","ELEC.GEN.NG-MT-99.A",20,17,25,28,27,68,106,66,78,57,418,464,614,515,599,476,417,476,540
"Montana : other gases","thousand megawatthours","ELEC.GEN.OOG-MT-99.A","--",19,20,23,15,11,19,6,1,2,0,0,0,0,17,9,14,12,10
"Montana : nuclear","thousand megawatthours","ELEC.GEN.NUC-MT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Montana : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MT-99.A",6613,9567,8702,8856,9587,10130,9364,10000,9506,9415,12596,11283,9638,11483,9888,10083,10946,11405,9409
"Montana : other renewables",,"ELEC.GEN.AOR-MT-99.A",,,,,,,,,,,,,,,,,,,
"Montana : wind","thousand megawatthours","ELEC.GEN.WND-MT-99.A","--","--","--","--","--",436,496,593,821,930,1265,1262,1755,1974,1965,2140,2155,2153,2323
"Montana : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",14,34,33
"Montana : geothermal","thousand megawatthours","ELEC.GEN.GEO-MT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Montana : biomass","thousand megawatthours","ELEC.GEN.BIO-MT-99.A",65,63,71,62,72,94,111,111,95,97,"--","--",5,13,21,20,21,21,20
"Montana : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Montana : other","thousand megawatthours","ELEC.GEN.OTH-MT-99.A","--","--","--","--","--","--","--",111,110,281,333,341,332,265,303,327,332,305,287
"Montana : all solar",,"ELEC.GEN.TSN-MT-99.A",,,,,,,,,,,,,,,,,,,
"Montana : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",11,8,11,15,20,24
"Montana : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",14,34,33
"Nevada",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Nevada : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-NV-99.A",33876,32089,33195,37667,40214,31860,32670,35090,37705,35146,31936,35173,36444,36001,39047,39787,38201,39640,39790
"Nevada : coal","thousand megawatthours","ELEC.GEN.COW-NV-99.A",17737,16413,17086,18257,18384,7254,7091,7812,7540,6997,5407,4079,5255,6548,2657,2167,1866,2485,2735
"Nevada : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NV-99.A",912,25,17,96,21,17,11,14,16,11,14,19,19,15,16,11,9,10,12
"Nevada : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NV-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nevada : natural gas","thousand megawatthours","ELEC.GEN.NG-NV-99.A",11514,12211,13253,16381,18836,21184,22263,23972,25878,23688,21841,25647,24767,22961,29000,28922,26626,26689,25778
"Nevada : other gases","thousand megawatthours","ELEC.GEN.OOG-NV-99.A","--",45,17,21,8,4,4,2,2,6,7,7,6,5,6,1,0,0,0
"Nevada : nuclear","thousand megawatthours","ELEC.GEN.NUC-NV-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nevada : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NV-99.A",2514,2268,1757,1615,1702,2058,2003,1751,2461,2157,2191,2440,2682,2389,2264,1789,1813,1881,2233
"Nevada : other renewables",,"ELEC.GEN.AOR-NV-99.A",,,,,,,,,,,,,,,,,,,
"Nevada : wind","thousand megawatthours","ELEC.GEN.WND-NV-99.A","--","--","--","--","--","--","--","--","--","--","--",129,251,300,310,344,361,312,324
"Nevada : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NV-99.A","--","--","--","--","--","--",44,156,174,217,291,473,745,1014,1657,3124,4146,4719,4866
"Nevada : geothermal","thousand megawatthours","ELEC.GEN.GEO-NV-99.A",1200,1127,1066,1298,1263,1344,1253,1383,1633,2070,2146,2347,2670,2729,3111,3353,3292,3462,3768
"Nevada : biomass","thousand megawatthours","ELEC.GEN.BIO-NV-99.A","--","--","--","--","--","--","--","--",1,0,0,19,24,25,26,55,58,53,52
"Nevada : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NV-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nevada : other","thousand megawatthours","ELEC.GEN.OTH-NV-99.A","--","--","--","--","--","--","--","--","--",0,38,12,25,15,1,21,32,29,22
"Nevada : all solar",,"ELEC.GEN.TSN-NV-99.A",,,,,,,,,,,,,,,,,,,
"Nevada : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NV-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",104,186,372,412,496,680
"Nevada : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NV-99.A","--","--","--","--","--","--",44,156,174,217,291,473,745,1014,1657,3124,4146,4719,4866
"New Mexico",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"New Mexico : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-NM-99.A",33612,30662,32736,32940,35136,37266,35985,37010,39674,36252,38181,36636,35871,32306,32701,32912,33597,32674,35150
"New Mexico : coal","thousand megawatthours","ELEC.GEN.COW-NM-99.A",28402,26903,28813,29264,29947,29859,27604,27014,29117,25618,27141,24994,24145,20356,20440,18365,18414,13402,14692
"New Mexico : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NM-99.A",66,33,51,31,37,41,44,53,45,50,38,46,58,63,63,52,41,21,32
"New Mexico : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NM-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Mexico : natural gas","thousand megawatthours","ELEC.GEN.NG-NM-99.A",4887,3442,3519,2993,4187,5890,6660,7966,8661,8512,8566,8799,8975,8976,9365,9958,9132,11628,12003
"New Mexico : other gases","thousand megawatthours","ELEC.GEN.OOG-NM-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Mexico : nuclear","thousand megawatthours","ELEC.GEN.NUC-NM-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Mexico : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NM-99.A",237,265,171,139,165,198,268,312,271,217,195,223,92,98,99,148,193,150,133
"New Mexico : other renewables",,"ELEC.GEN.AOR-NM-99.A",,,,,,,,,,,,,,,,,,,
"New Mexico : wind","thousand megawatthours","ELEC.GEN.WND-NM-99.A","--","--",183,513,795,1255,1393,1643,1547,1832,2104,2226,2193,2275,2090,3605,4595,6092,6860
"New Mexico : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NM-99.A","--","--","--","--","--","--","--","--","--",9,128,334,388,515,615,752,1193,1349,1356
"New Mexico : geothermal","thousand megawatthours","ELEC.GEN.GEO-NM-99.A","--","--","--","--","--","--","--","--","--","--","--","--",0,9,10,14,13,13,58
"New Mexico : biomass","thousand megawatthours","ELEC.GEN.BIO-NM-99.A",19,19,0,0,5,22,16,19,34,14,9,14,19,14,20,18,18,21,17
"New Mexico : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NM-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Mexico : other","thousand megawatthours","ELEC.GEN.OTH-NM-99.A","--","--","--","--","--","--","--",3,"--","--","--",0,1,1,1,0,-1,-1,-1
"New Mexico : all solar",,"ELEC.GEN.TSN-NM-99.A",,,,,,,,,,,,,,,,,,,
"New Mexico : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NM-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",120,142,157,204,250,300
"New Mexico : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NM-99.A","--","--","--","--","--","--","--","--","--",9,128,334,388,515,615,752,1193,1349,1356
"Utah",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Utah : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-UT-99.A",35854,36608,38024,38212,38165,41263,45373,46579,43543,42249,40836,39403,42517,43785,41949,38134,37412,39375,39189
"Utah : coal","thousand megawatthours","ELEC.GEN.COW-UT-99.A",33679,34488,35979,36618,35970,36856,37171,38020,35526,34057,33138,30799,34285,33377,31656,25939,26390,25912,25241
"Utah : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-UT-99.A",58,54,33,33,41,62,39,44,36,50,54,40,26,24,20,32,38,37,40
"Utah : petroleum coke","thousand megawatthours","ELEC.GEN.PC-UT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Utah : natural gas","thousand megawatthours","ELEC.GEN.NG-UT-99.A",1446,1380,1383,910,1178,3389,7424,7366,6444,6455,5256,6580,6606,8376,8218,8691,5871,8724,9436
"Utah : other gases","thousand megawatthours","ELEC.GEN.OOG-UT-99.A","--",0,0,0,0,0,0,36,28,36,33,4,2,0,8,54,16,7,17
"Utah : nuclear","thousand megawatthours","ELEC.GEN.NUC-UT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Utah : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-UT-99.A",508,458,421,450,784,747,539,668,835,696,1230,748,505,633,769,760,1294,927,781
"Utah : other renewables",,"ELEC.GEN.AOR-UT-99.A",,,,,,,,,,,,,,,,,,,
"Utah : wind","thousand megawatthours","ELEC.GEN.WND-UT-99.A","--","--","--","--","--","--","--",24,160,448,573,704,540,660,626,822,858,795,809
"Utah : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-UT-99.A","--","--","--","--","--","--","--","--","--","--","--",2,2,2,32,1054,2211,2224,2148
"Utah : geothermal","thousand megawatthours","ELEC.GEN.GEO-UT-99.A",153,218,198,195,185,191,164,254,279,277,330,335,319,522,430,485,481,446,445
"Utah : biomass","thousand megawatthours","ELEC.GEN.BIO-UT-99.A",5,6,5,4,4,15,31,24,48,56,58,60,71,73,85,84,78,79,68
"Utah : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-UT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Utah : other","thousand megawatthours","ELEC.GEN.OTH-UT-99.A",4,5,4,3,3,5,5,143,187,174,165,133,161,118,106,213,175,225,203
