"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"GEDUBUS","196113","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","196213","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","196313","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","196413","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","196513","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","196613","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","196713","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","196813","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","196913","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","197013","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","197113","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","197213","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","197313","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","197413","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","197513","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","197613","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","197713","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","197813","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","197913","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","198013","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","198113","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","198213","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","198313","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","198413","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","198513","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","198613","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","198713","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","198813","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","198913","9.3","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","199013","10.2","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","199113","11","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","199213","11.8","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","199313","12.6","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","199413","13.2","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","199513","14.1","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","199613","15.2","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","199713","16.3","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","199813","17.8","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","199913","19.3","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","200013","20.6","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","200113","22.48","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","200213","23.744","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","200313","27.4","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","200413","29.8","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","200513","33.8","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","200613","36.7","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","200713","41.1","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","200813","46.2","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","200913","53.7","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","201013","59.5","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","201113","63.5","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","201213","63.5","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","201313","63.5","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","201413","63.5","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","201513","63.5","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","201613","63.5","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","201713","63.5","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","201813","63.5","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","201913","63.5","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GET3BUS","194913","Not Available","5","Geothermal Energy, Transformed Into Electricity","Trillion Btu"
"GET3BUS","195013","Not Available","5","Geothermal Energy, Transformed Into Electricity","Trillion Btu"
"GET3BUS","195113","Not Available","5","Geothermal Energy, Transformed Into Electricity","Trillion Btu"
